Subject,Group,ProgYears,APIknow,Lab,Treatment,Task,Completeness,Time
Baldini,A,4,1.0,1,nce,T1,40,60
Baldini,A,4,1.0,2,ce,T2,30,60
Candela,D,3,2.0,1,ce,T2,100,60
Candela,D,3,2.0,2,nce,T1,100,30
De Simone,B,6,1.25,1,ce,T1,75,60
De Simone,B,6,1.25,2,nce,T2,50,60
Bianchi,D,3,2.0,1,ce,T2,53,30
Verdi,B,6,1.75,2,nce,T1,62,60
Galli,D,6,1.5,1,ce,T1,71,60
Bianchi,C,3,1.25,1,nce,T2,32,30
Ferrari,D,5,1.75,2,ce,T2,43,60
Galli,C,4,2.0,2,nce,T2,89,30
Bianchi,D,3,1.5,2,nce,T2,33,60
Galli,C,7,1.75,2,nce,T2,91,60
Bianchi,C,7,2.0,2,ce,T1,53,60
Rossi,C,6,1.25,1,ce,T1,44,30
Rossi,C,5,1.5,2,nce,T2,92,30
Ferrari,C,3,2.5,1,ce,T1,70,60
Rossi,C,4,1.5,2,ce,T1,91,60
Verdi,A,6,2.5,1,ce,T1,76,60
Ferrari,C,7,1.75,1,ce,T2,56,30
Galli,B,6,2.0,1,ce,T2,81,30
Bianchi,D,7,2.5,1,nce,T1,61,30
Ferrari,A,6,1.75,2,ce,T2,86,30
Bianchi,C,6,1.25,2,nce,T2,91,30
Rossi,C,3,1.5,2,ce,T1,32,30
Ferrari,C,7,1.5,1,nce,T2,53,30
Ferrari,C,6,1.5,2,ce,T2,81,60
Galli,A,5,2.0,1,nce,T1,88,30
Galli,B,6,2.0,2,ce,T1,48,60
Galli,D,6,1.75,2,nce,T2,97,30
Ferrari,A,5,2.0,2,nce,T2,40,30
Rossi,C,6,2.5,2,nce,T1,32,60
Bianchi,A,6,2.5,2,ce,T1,48,60
Bianchi,C,5,1.75,2,ce,T1,86,30
Galli,B,3,1.25,2,nce,T2,89,30
Galli,C,6,2.0,1,nce,T1,38,30
Ferrari,A,3,1.25,2,nce,T2,62,60
Bianchi,A,5,1.25,2,nce,T2,54,30
Galli,B,4,2.5,2,ce,T1,62,60
Rossi,D,6,2.5,1,nce,T1,77,60
Ferrari,A,7,2.5,2,nce,T1,56,60
Verdi,C,6,1.5,1,nce,T1,77,30
Bianchi,A,5,1.5,2,nce,T2,75,30
Ferrari,C,5,2.0,2,ce,T1,75,30
Ferrari,C,5,1.25,1,ce,T1,61,30
Rossi,A,4,1.5,2,ce,T2,87,30
Galli,B,3,1.75,2,nce,T1,62,30
Ferrari,D,4,1.75,1,nce,T1,53,30
Bianchi,B,5,1.25,1,nce,T1,37,60
Bianchi,A,6,1.75,2,nce,T1,92,60
Ferrari,C,4,2.0,2,nce,T2,78,60
Galli,A,6,2.0,1,nce,T1,89,60
Bianchi,D,6,2.0,2,nce,T2,76,30
Bianchi,D,4,1.25,2,nce,T1,46,60
Ferrari,C,4,1.75,1,nce,T1,91,30
Rossi,C,7,1.5,2,nce,T1,63,60
Rossi,D,7,1.5,2,ce,T1,93,30
Verdi,D,3,1.25,2,nce,T1,86,30
Bianchi,D,5,1.25,1,nce,T2,77,30
Bianchi,C,7,1.75,2,nce,T1,63,60
Galli,B,3,1.75,2,ce,T2,98,30
Bianchi,B,5,1.25,2,nce,T1,53,60
Galli,A,6,1.5,1,ce,T1,72,30
Bianchi,A,5,1.5,2,nce,T1,73,30
Verdi,C,4,2.0,1,nce,T1,37,30
Galli,B,4,1.75,1,ce,T1,97,60
Verdi,B,7,2.5,1,nce,T2,50,30
Rossi,C,4,2.0,1,nce,T2,78,30
Bianchi,B,5,2.0,2,ce,T1,42,30
Rossi,A,5,1.5,1,nce,T2,42,30
Ferrari,C,6,1.25,1,ce,T1,38,30
Bianchi,C,3,1.75,1,nce,T1,98,30
Bianchi,C,6,2.5,1,nce,T1,52,60
Rossi,D,7,1.75,2,ce,T2,34,30
Verdi,A,3,1.75,1,nce,T1,87,60
Rossi,D,7,1.75,1,nce,T1,95,30
Verdi,D,3,2.0,1,nce,T2,46,30
Rossi,D,6,1.25,2,nce,T1,48,30
Bianchi,A,4,1.75,1,ce,T2,96,30
Verdi,B,6,1.75,2,nce,T2,90,30
Rossi,C,3,2.0,2,nce,T1,92,60
Rossi,C,5,2.0,2,nce,T2,74,60
Verdi,D,7,2.0,1,nce,T1,65,30
Ferrari,C,5,1.75,1,ce,T1,43,30
Rossi,D,3,1.5,1,nce,T2,45,60
Bianchi,C,7,1.75,2,nce,T2,37,60
Bianchi,B,6,1.25,1,ce,T2,93,30
Rossi,C,5,2.0,2,ce,T2,58,30
Ferrari,D,4,2.5,2,ce,T1,54,60
Galli,B,3,2.0,1,ce,T2,62,60
Rossi,B,5,2.5,1,nce,T1,88,30
Rossi,D,5,1.75,1,ce,T1,30,30
Bianchi,C,7,2.0,2,ce,T1,52,30
Verdi,D,4,1.75,1,ce,T1,30,30
Verdi,D,6,1.5,1,nce,T2,63,60
Galli,B,4,2.5,1,nce,T2,94,60
Bianchi,D,3,1.5,1,nce,T1,76,30
Verdi,D,4,2.5,1,ce,T2,93,60
Galli,B,4,1.75,2,ce,T1,80,30
